"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 20 19:06:46 EDT 2024","Sat Apr 20 19:06:56 EDT 2024","10469","chromium","uiComponents.spec.ts","Form Layouts Page @block @regression","","","Input Fields",""
"passed","Sat Apr 20 19:04:14 EDT 2024","Sat Apr 20 19:04:26 EDT 2024","12230","chromium","testMobile.spec.ts","","","","Input Fields",""
